Date,Close
2024-11-11,631.15
2024-11-12,602.2
2024-11-13,597.2
2024-11-14,578.3
2024-11-18,569.15
2024-11-19,578.9
2024-11-21,569.2
2024-11-22,583.25
2024-11-25,591.3
2024-11-26,609.45
2024-11-27,621.6
2024-11-28,628.05
2024-11-29,626.75
2024-12-02,629.4
2024-12-03,649.85
2024-12-04,646.35
2024-12-05,630.15
2024-12-06,619.1
2024-12-09,600.2
2024-12-10,605.4
2024-12-11,601.75
2024-12-12,598.35
2024-12-13,592.4
2024-12-16,594.05
2024-12-17,585.7
2024-12-18,574.55
2024-12-19,606.2
2024-12-20,594.3
2024-12-23,601.4
2024-12-24,594.95
2024-12-26,607.65
2024-12-27,606.15
2024-12-30,592.1
2024-12-31,625.8
2025-01-01,631.95
2025-01-02,634.3
2025-01-03,633.45
2025-01-06,597.6
2025-01-07,604.45
2025-01-08,615.4
2025-01-09,612.15
2025-01-10,601.6
2025-01-13,574.75
2025-01-14,575.1
2025-01-15,574.5
2025-01-16,578.4
2025-01-17,590.95
2025-01-20,597.85
2025-01-21,584.8
2025-01-22,581.95
2025-01-23,576.15
2025-01-24,556.9
2025-01-27,529.9
2025-01-28,523.65
2025-01-29,525.65
2025-01-30,524.5
2025-01-31,541.45
2025-02-01,540.65
2025-02-03,515.9
2025-02-04,527.35
2025-02-05,532.65
2025-02-06,526.75
2025-02-07,522.85
2025-02-10,517.05
2025-02-11,501.7
2025-02-12,501.25
2025-02-13,501.75
2025-02-14,479.35
2025-02-17,484.05
2025-02-18,478.6
2025-02-19,496.25
2025-02-20,499.85
2025-02-21,505.1
2025-02-24,508.4
2025-02-25,491.75
2025-02-27,469.8
2025-02-28,451.6
2025-03-03,452.05
2025-03-04,462.65
2025-03-05,471.3
2025-03-06,527.05
2025-03-07,529.2
2025-03-10,513.05
2025-03-11,551.5
2025-03-12,552.8
2025-03-13,570.15
2025-03-17,561.85
2025-03-18,559.9
2025-03-19,573.35
2025-03-20,575.5
2025-03-21,632.95
2025-03-24,637.55
2025-03-25,614.25
2025-03-26,630.55
2025-03-27,626.15
2025-03-28,615.1
2025-04-01,599.95
2025-04-02,608.45
2025-04-03,610.25
2025-04-04,608.8
2025-04-07,594.5
2025-04-08,610.0
2025-04-09,606.8
2025-04-11,616.2
2025-04-15,619.45
2025-04-16,631.0
2025-04-17,621.75
2025-04-21,635.35
2025-04-22,633.8
2025-04-23,628.4
2025-04-24,627.15
2025-04-25,631.0
2025-04-28,620.95
2025-04-29,619.55
2025-04-30,612.3
2025-05-02,617.7
2025-05-05,625.55
2025-05-06,607.95
2025-05-07,615.15
2025-05-08,605.35
2025-05-09,591.9
2025-05-12,618.75
2025-05-13,621.15
2025-05-14,626.85
2025-05-15,640.3
2025-05-16,646.75
2025-05-19,652.45
2025-05-20,675.0
2025-05-21,691.45
2025-05-22,684.2
2025-05-23,680.6
2025-05-26,686.85
2025-05-27,684.05
2025-05-28,719.05
2025-05-29,721.65
2025-05-30,676.2
2025-06-02,666.8
2025-06-03,651.15
2025-06-04,658.5
2025-06-05,652.95
2025-06-06,648.35
2025-06-09,655.9
2025-06-10,668.85
2025-06-11,683.65
2025-06-12,664.4
2025-06-13,641.95
2025-06-16,627.05
2025-06-17,637.2
2025-06-18,629.05
2025-06-19,608.25
2025-06-20,632.95
2025-06-23,702.35
2025-06-24,685.8
2025-06-25,667.9
2025-06-26,671.55
2025-06-27,683.1
2025-06-30,679.4
2025-07-01,681.75
2025-07-02,700.7
2025-07-03,712.4
2025-07-04,771.15
2025-07-07,738.2
2025-07-08,734.05
2025-07-09,738.6
2025-07-10,733.8
2025-07-11,719.3
2025-07-14,721.9
2025-07-15,743.7
2025-07-16,749.15
2025-07-17,747.25
2025-07-18,779.4
2025-07-21,779.7
2025-07-22,787.15
2025-07-23,777.75
2025-07-24,761.6
2025-07-25,687.6
2025-07-28,720.9
2025-07-29,705.3
2025-07-30,699.4
2025-07-31,682.65
2025-08-01,656.5
2025-08-04,649.1
2025-08-05,638.95
2025-08-06,634.65
2025-08-07,641.15
2025-08-08,643.5
2025-08-11,659.1
2025-08-12,660.8
2025-08-13,651.25
2025-08-14,633.35
2025-08-18,627.05
2025-08-19,656.15
2025-08-20,659.45
2025-08-21,663.6
2025-08-22,659.2
2025-08-25,660.9
2025-08-26,649.9
2025-08-28,645.25
2025-08-29,645.4
2025-09-01,687.05
2025-09-02,699.6
2025-09-03,699.05
2025-09-04,692.85
2025-09-05,702.4
2025-09-08,702.4
2025-09-09,723.2
2025-09-10,725.35
2025-09-11,742.65
2025-09-12,734.85
2025-09-15,751.9
2025-09-16,751.9
2025-09-17,739.8
2025-09-18,744.85
2025-09-19,742.4
2025-09-22,756.0
2025-09-23,751.7
2025-09-24,753.3
2025-09-25,754.5
2025-09-26,760.5
2025-09-29,763.35
2025-09-30,757.8
2025-10-01,757.1
2025-10-02,757.1
2025-10-03,780.4
2025-10-06,807.7
2025-10-07,805.3
2025-10-08,803.55
2025-10-09,798.9
2025-10-10,802.25
2025-10-13,787.25
2025-10-14,768.45
2025-10-15,758.2
2025-10-16,735.55
2025-10-17,723.6
2025-10-20,775.85
2025-10-21,779.3
2025-10-23,746.8
2025-10-24,772.35
2025-10-27,769.85
2025-10-28,843.2
2025-10-29,809.7
2025-10-30,885.0
2025-10-31,979.35
2025-11-03,953.0
2025-11-04,982.85
2025-11-06,975.85
2025-11-07,1016.3
